iter	Passed	Remaining
441	1175	1483
442	1176	1479
443	1178	1475
444	1180	1471
445	1181	1467
446	1183	1464
447	1185	1460
448	1186	1456
449	1188	1452
450	1190	1448
451	1191	1444
452	1193	1441
453	1195	1437
454	1196	1433
455	1198	1429
456	1200	1426
457	1201	1422
458	1203	1418
459	1204	1414
460	1206	1410
461	1208	1407
462	1210	1403
463	1212	1400
464	1213	1396
465	1216	1394
466	1219	1391
467	1221	1388
468	1223	1385
469	1225	1381
470	1226	1378
471	1228	1374
472	1230	1370
473	1232	1367
474	1233	1363
475	1235	1360
476	1237	1356
477	1238	1352
478	1240	1349
479	1242	1345
480	1243	1342
481	1245	1338
482	1247	1335
483	1248	1331
484	1250	1327
485	1252	1324
486	1254	1321
487	1255	1317
488	1257	1314
489	1259	1310
490	1260	1307
491	1262	1303
492	1264	1300
493	1265	1296
494	1267	1293
495	1269	1290
496	1271	1286
497	1273	1283
498	1274	1279
499	1276	1276
500	1278	1273
501	1279	1269
502	1281	1266
503	1283	1262
504	1285	1259
505	1286	1256
506	1288	1252
507	1289	1249
508	1291	1245
509	1293	1242
510	1295	1239
511	1296	1235
512	1298	1232
513	1300	1229
514	1301	1226
515	1303	1222
516	1305	1219
517	1306	1215
518	1308	1212
519	1310	1209
520	1313	1207
521	1315	1204
522	1317	1201
523	1318	1198
524	1320	1195
525	1322	1191
526	1324	1188
527	1326	1185
528	1327	1182
529	1329	1179
530	1331	1175
531	1333	1172
532	1334	1169
533	1336	1166
534	1338	1162
535	1340	1160
536	1342	1157
537	1344	1154
538	1346	1151
539	1348	1148
540	1349	1145
541	1351	1141
542	1352	1138
543	1354	1135
544	1356	1132
545	1357	1129
546	1359	1125
547	1361	1122
548	1362	1119
549	1364	1116
550	1366	1113
551	1367	1110
552	1369	1107
553	1371	1104
554	1373	1101
555	1374	1097
556	1376	1095
557	1378	1092
558	1380	1088
559	1382	1085
560	1383	1082
561	1385	1079
562	1386	1076
563	1388	1073
564	1390	1070
565	1391	1067
566	1393	1064
567	1395	1061
568	1396	1058
569	1398	1055
570	1400	1052
571	1401	1049
572	1403	1046
573	1405	1042
574	1406	1039
575	1409	1037
576	1411	1034
577	1412	1031
578	1414	1028
579	1416	1025
